screen_name,lang,created_at,fav_count,retweet_count,text,location
sukron_sabilah,in,10/2/2020 5:02,0,0,Mantan Wakil Gubernur DKI Jakarta ini dimungkinkan akan mengkampanyekan pasangan Gibran-Teguh juga secara virtual.,Bandung Lautan Asmara
SarasfatiJ,in,10/2/2020 5:02,0,0,"Termasuk model kampanye yang digunakan Sandiaga untuk paslon Gibran-Teguh. Menurutnya, antara Gibran dengan Sandi, sangat bisa disatukan.","Manado, Indonesia"
sukron_sabilah,in,10/2/2020 5:02,0,0,"Termasuk model kampanye yang digunakan Sandiaga untuk paslon Gibran-Teguh. Menurutnya, antara Gibran dengan Sandi, sangat bisa disatukan.",Bandung Lautan Asmara
AriantiDimar,in,10/2/2020 5:02,0,0,"Menurutnya, faktor kedekatan antara Sandiaga, Prabowo Subianto (Ketua DPP Partai Gerindra) dengan Presiden Jokowi sâ€¦ https://t.co/CwopvCyUK6","Pangalengan, Jawa Barat"
AriantiDimar,in,10/2/2020 5:02,0,0,"Kabar Sandiaga akan menjadi juru kampanye untuk pasangan Gibran Teguh, dibenarkan oleh ketua DPC Partai Gerindra Solo Ardianto Kuswinarno.","Pangalengan, Jawa Barat"
SarasfatiJ,in,10/2/2020 5:02,0,0,"Menurutnya, faktor kedekatan antara Sandiaga, Prabowo Subianto (Ketua DPP Partai Gerindra) dengan Presiden Jokowi sâ€¦ https://t.co/ypvFYUxZXE","Manado, Indonesia"
SarasfatiJ,in,10/2/2020 5:02,0,0,"Kabar Sandiaga akan menjadi juru kampanye untuk pasangan Gibran Teguh, dibenarkan oleh ketua DPC Partai Gerindra Solo Ardianto Kuswinarno.","Manado, Indonesia"
AriantiDimar,in,10/2/2020 5:02,0,0,Wakil Ketua Dewan Pembina Partai Gerindra Sandiaga Salahudin Uno akan menjadi juru kampanye (jurkam) untuk pasanganâ€¦ https://t.co/wncWaR2UCw,"Pangalengan, Jawa Barat"
sukron_sabilah,in,10/2/2020 5:02,0,0,"Menurutnya, faktor kedekatan antara Sandiaga, Prabowo Subianto (Ketua DPP Partai Gerindra) dengan Presiden Jokowi sâ€¦ https://t.co/RxGxhWzPk5",Bandung Lautan Asmara
sukron_sabilah,in,10/2/2020 5:02,0,0,"Kabar Sandiaga akan menjadi juru kampanye untuk pasangan Gibran Teguh, dibenarkan oleh ketua DPC Partai Gerindra Solo Ardianto Kuswinarno.",Bandung Lautan Asmara
SarasfatiJ,in,10/2/2020 5:02,0,0,Wakil Ketua Dewan Pembina Partai Gerindra Sandiaga Salahudin Uno akan menjadi juru kampanye (jurkam) untuk pasanganâ€¦ https://t.co/fGZxqA1Eyo,"Manado, Indonesia"
sukron_sabilah,in,10/2/2020 5:02,0,0,Wakil Ketua Dewan Pembina Partai Gerindra Sandiaga Salahudin Uno akan menjadi juru kampanye (jurkam) untuk pasanganâ€¦ https://t.co/g1Qa2vX6QH,Bandung Lautan Asmara
dianalaily21,in,10/2/2020 4:57,0,0,"Lebih lanjut Ardianto mengatakan, saat ini pihaknya sedang mengkaji persiapan deklarasi tim pemenangan untuk paslon Gibran-Teguh.","Blora, Jawa Tengah"
dianalaily21,in,10/2/2020 4:57,0,0,Mantan Wakil Gubernur DKI Jakarta ini dimungkinkan akan mengkampanyekan pasangan Gibran-Teguh juga secara virtual.,"Blora, Jawa Tengah"
PujiyantiR,in,10/2/2020 4:57,0,0,"Lebih lanjut Ardianto mengatakan, saat ini pihaknya sedang mengkaji persiapan deklarasi tim pemenangan untuk paslon Gibran-Teguh.","Solo, Jawa Tengah"
PujiyantiR,in,10/2/2020 4:57,0,0,Mantan Wakil Gubernur DKI Jakarta ini dimungkinkan akan mengkampanyekan pasangan Gibran-Teguh juga secara virtual.,"Solo, Jawa Tengah"
dianalaily21,in,10/2/2020 4:56,0,0,"Termasuk model kampanye yang digunakan Sandiaga untuk paslon Gibran-Teguh. Menurutnya, antara Gibran dengan Sandi, sangat bisa disatukan.","Blora, Jawa Tengah"
PujiyantiR,in,10/2/2020 4:56,0,0,"Termasuk model kampanye yang digunakan Sandiaga untuk paslon Gibran-Teguh. Menurutnya, antara Gibran dengan Sandi, sangat bisa disatukan.","Solo, Jawa Tengah"
SJayarini,in,10/2/2020 4:56,0,0,"Lebih lanjut Ardianto mengatakan, saat ini pihaknya sedang mengkaji persiapan deklarasi tim pemenangan untuk paslon Gibran-Teguh.","Pemalang, Jawa Tengah"
SJayarini,in,10/2/2020 4:56,0,0,Mantan Wakil Gubernur DKI Jakarta ini dimungkinkan akan mengkampanyekan pasangan Gibran-Teguh juga secara virtual.,"Pemalang, Jawa Tengah"
SJayarini,in,10/2/2020 4:56,0,0,"Termasuk model kampanye yang digunakan Sandiaga untuk paslon Gibran-Teguh. Menurutnya, antara Gibran dengan Sandi, sangat bisa disatukan.","Pemalang, Jawa Tengah"
PujiyantiR,in,10/2/2020 4:56,0,0,"Menurutnya, faktor kedekatan antara Sandiaga, Prabowo Subianto (Ketua DPP Partai Gerindra) dengan Presiden Jokowi sâ€¦ https://t.co/IdrNVnIDPP","Solo, Jawa Tengah"
dianalaily21,in,10/2/2020 4:56,0,0,"Menurutnya, faktor kedekatan antara Sandiaga, Prabowo Subianto (Ketua DPP Partai Gerindra) dengan Presiden Jokowi sâ€¦ https://t.co/wn9i2kXboK","Blora, Jawa Tengah"
PujiyantiR,in,10/2/2020 4:56,0,0,"Kabar Sandiaga akan menjadi juru kampanye untuk pasangan Gibran Teguh, dibenarkan oleh ketua DPC Partai Gerindra Solo Ardianto Kuswinarno.","Solo, Jawa Tengah"
dianalaily21,in,10/2/2020 4:56,0,0,"Kabar Sandiaga akan menjadi juru kampanye untuk pasangan Gibran Teguh, dibenarkan oleh ketua DPC Partai Gerindra Solo Ardianto Kuswinarno.","Blora, Jawa Tengah"
PujiyantiR,in,10/2/2020 4:56,0,0,Wakil Ketua Dewan Pembina Partai Gerindra Sandiaga Salahudin Uno akan menjadi juru kampanye (jurkam) untuk pasanganâ€¦ https://t.co/bXY80bt9hu,"Solo, Jawa Tengah"
dianalaily21,in,10/2/2020 4:56,0,0,Wakil Ketua Dewan Pembina Partai Gerindra Sandiaga Salahudin Uno akan menjadi juru kampanye (jurkam) untuk pasanganâ€¦ https://t.co/MIy8yltxcE,"Blora, Jawa Tengah"
SJayarini,in,10/2/2020 4:56,0,0,"Menurutnya, faktor kedekatan antara Sandiaga, Prabowo Subianto (Ketua DPP Partai Gerindra) dengan Presiden Jokowi sâ€¦ https://t.co/RaTlAGpSfd","Pemalang, Jawa Tengah"
SJayarini,in,10/2/2020 4:56,0,0,"Kabar Sandiaga akan menjadi juru kampanye untuk pasangan Gibran Teguh, dibenarkan oleh ketua DPC Partai Gerindra Solo Ardianto Kuswinarno.","Pemalang, Jawa Tengah"
SJayarini,in,10/2/2020 4:56,0,0,Wakil Ketua Dewan Pembina Partai Gerindra Sandiaga Salahudin Uno akan menjadi juru kampanye (jurkam) untuk pasanganâ€¦ https://t.co/46Vvp1ciWq,"Pemalang, Jawa Tengah"
soeyoto1,in,10/2/2020 4:54,0,0,"Orang Amerika mungkin jadi mikir2, jangan2 nanti kalau Biden menang dan Trump kalah 
Kemudian anaknya Biden nyalonâ€¦ https://t.co/u1T4osIt5G",jakarta
joseph_hono,in,10/2/2020 4:53,0,75,"RT @DiniHrdianti: Sandiaga Uno menjadi juru kampanye pasangan calon wali kota dan wakil wali kota Solo, Gibran Rakabuming Raka-Teguh Prakosâ€¦","DKI Jakarta, Indonesia"
putriteratai25,in,10/2/2020 4:49,0,75,"RT @DiniHrdianti: Sandiaga Uno menjadi juru kampanye pasangan calon wali kota dan wakil wali kota Solo, Gibran Rakabuming Raka-Teguh Prakosâ€¦",
BiemLugiek,in,10/2/2020 4:47,0,75,"RT @DiniHrdianti: Sandiaga Uno menjadi juru kampanye pasangan calon wali kota dan wakil wali kota Solo, Gibran Rakabuming Raka-Teguh Prakosâ€¦","Kota Surabaya, Jawa Timur"
alextham878,in,10/2/2020 4:44,0,1,"RT @FerdinandHaean3: Selamat bang @sandiuno , semoga Solo kedepan bisa bebas dari kaum intoleransi..!!

 https://t.co/zTNGGFO3F0",
WiewiexPalesti,in,10/2/2020 4:31,0,10,"RT @OposisiCerdas: Sandiaga Uno Jadi Juru Kampanye Gibran-Teguh di Pilkada Solo, Disebut Ada Lobi Jokowi
https://t.co/ReLKQnvlVg",
GoTotheJek,in,10/2/2020 4:25,0,75,"RT @DiniHrdianti: Sandiaga Uno menjadi juru kampanye pasangan calon wali kota dan wakil wali kota Solo, Gibran Rakabuming Raka-Teguh Prakosâ€¦",jabodetabek
gratias_15,in,10/2/2020 4:22,0,75,"RT @DiniHrdianti: Sandiaga Uno menjadi juru kampanye pasangan calon wali kota dan wakil wali kota Solo, Gibran Rakabuming Raka-Teguh Prakosâ€¦",
ekamaula77,in,10/2/2020 4:20,0,20,"RT @geloraco: Sandiaga Uno Jadi Juru Kampanye Gibran-Teguh di Pilkada Solo, Disebut Ada Lobi Jokowi
https://t.co/3NbXRfHb9E","Kota Bandung, Jawa Barat"
